feature,importance
Age,0.3876254025020688
NumOfProducts,0.28460914064280646
EngagementProductScore,0.09562081415358639
Balance,0.06558715848526166
Geography_Germany,0.0504755156762581
IsActiveMember,0.03256774545108998
BalanceSalaryRatio,0.024472722933389233
CreditScore,0.016925807694381213
EstimatedSalary,0.0139603465816315
Gender_Male,0.012860700655245935
AgeTenureInteraction,0.008772064584496418
ProductDensity,0.003413523278408697
IsZeroBalance,0.0012371873561584194
HasCrCard,0.0009638292944036789
Tenure,0.0004992949229182654
Geography_Spain,0.0004087457878952254
