feature,mean_abs_shap
NumOfProducts,0.7626025377181535
Age,0.7135858272838541
Geography_Germany,0.23782106705914302
EngagementProductScore,0.20764068545840839
Gender_Male,0.20491341469636784
IsActiveMember,0.1251384427718178
BalanceSalaryRatio,0.12448383589289981
Balance,0.1135044447119983
EstimatedSalary,0.06169337544808954
IsZeroBalance,0.04357365185641691
CreditScore,0.04069389517849065
AgeTenureInteraction,0.030014713466698338
ProductDensity,0.02119413258254422
Geography_Spain,0.014572885123438954
HasCrCard,0.013116806515561708
Tenure,0.0010855802169776794
